image_path,class_path
part-affordance-dataset/tools/bowl_04/bowl_04_00000157_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000157_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000221_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000221_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000231_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000231_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000243_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000243_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000125_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000125_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000135_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000135_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000178_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000178_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000010_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000010_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000168_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000168_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000062_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000062_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000072_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000072_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000034_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000034_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000024_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000024_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000056_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000056_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000046_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000046_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000248_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000248_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000197_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000197_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000187_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000187_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000173_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000173_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000163_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000163_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000215_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000215_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000205_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000205_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000069_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000069_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000111_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000111_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000079_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000079_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000101_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000101_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000137_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000137_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000127_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000127_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000241_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000241_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000094_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000094_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000084_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000084_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000233_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000233_label.mat
part-affordance-dataset/tools/bowl_04/bowl_04_00000223_rgb.jpg,part-affordance-dataset/tools/bowl_04/bowl_04_00000223_label.mat
